Type of litigation,Number of proceedings / In all courts / Number decided,Number of proceedings / In all courts / Court determination / Upholding Board position,Number of proceedings / In all courts / Court determination / Contrary to Board position,Number of proceedings / In courts of appeals / Number decided,Number of proceedings / In courts of appeals / Court determination / Upholding Board position,Number of proceedings / In courts of appeals / Court determination / Contrary to Board position,Number of proceedings / In district courts / Number decided,Number of proceedings / In district courts / Court determination / Upholding Board position,Number of proceedings / In district courts / Court determination / Contrary to Board position
Totals—all types,102,92,10,36,35,1,66,57,9
NLRB-initiated actions or interventions,11,8,3,4,3,1,7,5,2
To enforce subpenas,1,1,,,,,1,1,
To restrain dissipation of assets by respondent,1,1,,,,,1,1,
To defend Board's jurisdiction,9,6,3,4,3,1,5,3,2
Action by other parties,91,84,7,32,32,,59,52,7
To restrain NLRB from:,47,43,4,10,10,,37,33,4
Proceeding in R case,21,18,3,6,6,,15,12,3
Proceeding in unfair labor practice case,24,23,1,2,2,,22,21,1
Proceeding in backpay case,,,,,,,,,
Other,2,2,,2,2,,,,
To compel NLRB to:,40,37,3,21,21,,19,16,3
Issue complaint,13,13,,7,7,,6,6,
Seek injunction,1,,1,,,,1,,1
Vacate decision in R case,13,12,1,7,7,,6,5,1
Comply with Freedom of Information Act,9,8,1,6,6,,3,2,1
Other,4,4,,1,1,,3,3,
