Object class,Amount
Salaries,7462944
Travel,439900
Transportation of things,17340
Communication services,238334
Rents and utility services,30733
Printing and reproduction,169332
Other contractual services,286157
Supplies and materials,89083
Equipment,46083
"Refunds, awards, and indemnities",1910
Taxes and assessments,7789
"Grand total, obligations and expenditures for salaries and expenses",8789605
