row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
. g 0 V cZ U ',°,"010000040100 0,-,",S,,",00010k1",g3 O.N.,".--, w"
"4 ,, '' Egt+-A <CEZ, v","00,.00.000i Q",M,,0000,10,00004,N
"dgm E ' l =,1","000O,,0000 S",N,,NO-10,M,000404,0
a 0.0 -. ---,a 0.0 -. ---,"0.0,07. -,,","N c., -",'''g'.'9,,;0 1R2,0-0
a,a,00010000)0'00,,"me,,,D,n w",,"N..,",a
",-, a l' (...) a",",-, a l' (...) a",224g8'42E,,228,2 N,"4■782, g",E
4 W i,4 W i,"4ESS!,--=,",", c,","8 2' .2,4 ,».",g m,"m.tmm ,o,---,,-, N",
a.,a.,"00000, 00000",t4,",N,0",00 0,"0,C.",
0 0,0 0,0000000000,,00000,=,=MOO,CO
0 W,0 W,"00.000,,wm",,0000,0,ONO.,N
"0 z , r=1","0 z , r=1",ww.10.00w9,2,",P-1.0.",m,"-,,,,,,c, 0",m
a t 4 Q,a t 4 Q,"mm..,...,..,,4",4,"',;,F,""''",2,",,c,,m c., ,,",
m,m,"'-22K:,88",g,P 0 2R,g,282; : :,2
.'t,.'t,2S-;27=='22f=,,,,"L,L,,nR",8
"C.) . .,C A","C.) . .,C A",v.qq4ggg,. 4,..m.,m,",,,m,- 0.m.",m 01
2 V,2 V,",.....,MN g 2228428",,",00N0 ,-82;, -.n","W T,","0004. n',,-,",Q .g.
"N 41 W I,' g 07","N 41 W I,' g 07","F.° .. E 0 E-2,t c, , ',5 E .. N ' °Ig t 'UU FI. .1.3'th-g t E mr553zr2rtg:","4:3 I 7,. <4 41 c2",",Omi ii41","Q, 0 g C/) 4., a","42g .',. i",w t 0 = z c2 14:
