row_label,Industrial group,Total elections / Total,Number of elections in which representation rights were won by unions / Total,Number of elections in which no representation was chosen / AFL-CIO unions,Number of employees eligible to vote / Other national unions,Total valid votes cast / Other local unions,Valid votes cast for unions / Number of elections in which no representative was chosen,Eligible employees in units choosing rep no union / Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Other national unions,Other local unions,Eligible employees in units choosing no representation
Legal services,1,1,1,0,0,0,12,10,8,8,0,0,2,12
Social services,78,44,44,2,0,32,3396,2855,1611,1589,13,9,1244,1678
Miscellaneous services,11,6,6,5,0,0,543,458,290,274,13,0,274,401
Services,966,538,416,53,69,428,58516,49871,27019,22000,2492,3477,22852,32168
Public administration,15,12,10,0,2,3,645,576,401,336,0,65,175,491
"Total, all industrial groups",3572,1665,1451,78,136,1907,210834,185754,88343,78253,4129,5961,97411,85603
