row_label,Total elections,Number of elections in which representative was won by unions / Total,Number of elections in which representative was won by unions / AFL-CIO unions,Number of elections in which representative was won by unions / Teamsters,Number of elections in which representative was won by unions / Other national unions,Number of elections in which representative was won by unions / Other local unions,Number of elections in which no representative was chosen,Number employees eligible to vote,Total valid votes cast,Valid votes cast for union / Total,Valid votes cast for union / AFL-CIO unions,Valid votes cast for union / Teamsters,Valid votes cast for union / Other national unions,Valid votes cast for union / Other local unions,Eligible employees in elections in which no representative chosen
Maine,44,14,7,3,3,1,30,4097,3005,1375,1045,159,,,2320
New England (division total),454,200,101,68,10,21,254,33435,27947,11138,7099,2259,745,1137,16809
Middle Atlantic (division total),1440,672,390,162,53,72,765,83417,71260,26684,18222,4961,1295,2200,34140
East North Central (division total),1891,873,461,274,81,57,1018,100799,89446,42792,24166,6395,7574,4686,36684
West North Central (division total),648,307,163,115,23,9,341,24460,21891,9571,5069,2411,1350,302,8734
