Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO,Teamsters,Other national,Other local,Number of elections in which no representation was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union,Eligible employees choosing representation
Legal services,6,6,5,0,0,1,0,189,181,161,60,0,0,101,20,189
Social services,64,39,35,4,0,0,25,2588,2135,1491,916,238,0,37,934,1559
Miscellaneous services,20,8,8,2,0,0,10,720,650,269,178,0,0,91,381,334
Services TOTAL,927,519,337,100,30,52,408,56352,47538,24453,16591,3251,1766,2845,23085,27226
Public administration,19,10,8,2,0,0,9,1008,909,614,448,74,0,92,295,708
"Total, all industrial groups",3599,1673,1048,456,61,108,1926,219730,193035,90900,63179,17719,3322,6680,102135,83379
