row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Washington,1274,892,606,236,33,4,1,0,12,337,151,47,139,21,1,23
Oregon,525,309,228,66,12,1,1,0,1,179,70,29,80,20,0,17
California,6327,5144,3313,1413,280,37,11,4,86,1076,611,221,244,33,6,68
Alaska,282,229,125,79,17,4,1,o,3,50,34,8,8,2,0,1
Hawaii,328,238,198,33,5,0,1,o,1,75,54,4,17,14,0,1
Guam,4,1,0,1,0,o,o,o,0,3,3,0,0,0,0,0
Pacific,8740,6813,4470,1828,347,46,15,4,103,1720,923,309,488,90,7,110
Puerto Rico,296,193,142,49,0,0,0,1,1,94,85,3,6,0,2,7
Virgin Islands,30,22,21,1,0,0,0,o,0,8,7,0,1,0,0,0
Outlying areas,326,215,163,50,o,o,o,1,I,102,92,3,7,0,2,7
"Total, all States and areas",44118,35529,24852,8899,1108,283,63,34,290,7846,5370,646,1830,254,36,453
