row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,1207,100.0,371,30.8,803,66.5,33,2.7
By type of case: RC cases,1133,100.0,359,31.7,746,65.8,28,2.5
RM cases,53,100.0,9,17.0,41,77.3,3,5.7
RD cases,21,100.0,3,14.3,16,76.2,2,9.5
By type of election: Consent elections,200,100.0,55,27.5,138,69.0,7,3.5
Stipulated elections,651,100.0,194,29.8,439,67.4,18,2.8
Expedited elections,7,100.0,0,,6,85.7,1,14.3
Regional director-directed elections,319,100.0,107,33.5,208,65.2,4,1.3
Board-directed elections,30,100.0,15,50.0,12,40.0,3,10.0
