row_label,disposition,count
Granted,Granted,17
Denied,Denied,8
Withdrawn,Withdrawn,1
Dismissed,Dismissed,0
Settled or placed on court's inactive lists,Settled or placed on court's inactive lists,8
Awaiting action at end of fiscal year,Awaiting action at end of fiscal year,10
