Size of establishment (number of employees),Total / Total number of situations,Total / Percent of all situations,Type of situations / Cumulative percent of all situations,Type of situations / CA Number of situations,Type of situations / CA Percent by size class,Type of situations / CB Number of situations,Type of situations / CB Percent by size class,Type of situations / CC Number of situations,Type of situations / CC Percent by size class,Type of situations / CD Number of situations,Type of situations / CD Percent by size class,Type of situations / CE Number of situations,Type of situations / CE Percent by size class,Type of situations / CG Number of situations,Type of situations / CG Percent by size class,Type of situations / CP Number of situations,Type of situations / CP Percent by size class,CA-CB combinations Number of situations,CA-CB combinations Percent by size class,Other C combinations Number of situations,Other C combinations Percent by size class
"2,000-2,999",612,2.1,95.9,377,1.8,205,3.1,2,0.3,0,0,0,0,0,0,28,3.1,0,,,
"3,000-3,999",315,1.1,97.0,169,0.8,125,1.9,2,0.3,0,0,1,0.4,0,0,16,1.7,1,,,
"4,000-4,999",163,0.6,97.6,101,0.5,47,0.7,0,0,0,0,1,0.4,0,0,14,1.5,0,0.6,,
"5,000-9,999",374,1.3,98.9,206,1.0,137,2.1,1,0.1,0,0,1,0.4,0,0,2,0.5,27,2.9,0,
"Over 9,999",331,1.1,100.0,168,0.8,147,2.2,4,0.6,0,0,1,0.4,0,0,0,0,11,1.1,0,
