Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,29804,100.0,22748,100.0,6299,100.0,421,100.0,153,100.0,28,100.0,25,100.0,117,100.0
Agreement of the parties,10652,35.7,9261,40.7,1088,17.3,190,45.1,25,16.3,8,25.0,12,44.0,46,39.3
  Informal settlement,10621,35.6,9290,40.7,1088,17.3,190,45.1,25,16.3,8,25.0,12,44.0,46,39.3
    Before issuance of complaint,8466,28.4,7765,34.1,626,9.9,159,37.7,14,9.1,5,16.0,9,33.0,32,27.3
  Formal settlement,11,0.0,11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with,619,2.1,736,3.2,51,0.8,20,4.8,0,0.0,0,0.0,1,3.7,9,7.7
