Fiscal year,Number of cases / All cases,Number of cases / Unfair labor practice cases,Number of cases / Representation cases,Percent of total / Unfair labor practice cases,Percent of total / Representation cases
1936-44,67494,34879,32615,51.7,48.3
1936,1068,865,203,81.0,19.0
1937,4068,2895,1173,71.2,28.8
1938,10430,6807,3623,65.3,34.7
1939,6904,4618,2286,66.9,33.1
1940,6177,3934,2243,63.7,36.3
1941,9151,4817,4334,52.6,47.4
1942,10977,4967,6010,45.2,54.8
1943,9543,3403,6140,35.7,64.3
1944,9176,2573,6603,28.0,72.0
