row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Wholesale trade,1504,1194,"955 1,579",225,9,3,0,0,2,297 409,217 291,10,70,7,2,4
Retail trade.,2469,2023,,394,37,5,1,0,7,110,88,20,98,22,1,14
"Finance, insurance, and real estate",661,523,372,132,14,3,0,0,2,,,2,20,3,0,25
U.S. Postal Service,3191,3190,2499,691,0,0,0,0,0,1,1,0,0,0,0,0
Local and suburban transit and interurban highway passenger transportation,685,492,396,95,1,0,0,0,0,186,161,1,24,2,0,5
Motor freight transportation and warehousing,2338,1927,1560,337,26,0,1,0,3,393,325,9,59,7,0,11
Water transportation,287,258,114,119,9,10,4,0,2,25,23,0,2,0,0,4
Other transportation,491,423,283 671,132 167,7 7,0 8,1 2,0 0,0 0,61 124,51 83,2 4,8 37,3,0 0,4 12
"Communication Electric, gas, and sanitary services","995 1,070",855 884,709,148,14,5,7,0,1,174,142,3,29,4 3,0,9
"Transportation, communication, and other utilities",5866,,,,,,15,0,,,,,,,,
,,4839,3733,998,64,23,,,6,963,785,19,159,19,0,45
"Hotels, rooming houses, camps, and other lodging places",840,742,564,170,6,0,1,0,1,95,78,3,14,0 2,0,3 3
Personal services .,242,182,157,20,4,1,0,0,0,55,38,2,15,3,0,
"Automotive repair, services, and garages",436,323,277,45,0,0,0,0,1,107,75,1,31,,1,2
Motion pictures,210,190,98,85,2,3,0,0,2,20,15,2,3,0,0,0
Amusement and recreation services (except motion pictures),"401 3,427","313 2,789",229,69 400,8 19,2 0,3 8,0 29,2 2,84 559,73 468,2 17,9 74,2 5,0 4,2 70
Health services Educational services,315,265,2331,49,7,6,0,0,1,42,38,1,3,0,1,7
Membership organizations,606,524,202 327,188,8,1,0,0,0,68,58,3,7,3,0,11
Business services,2033,1665,1257,372,19,7,4,0,6,343,281,5,57 7,10,5,10
Miscellaneous repair services,96,71,62,7,1,0,1,0,0,23,15,1,,2,0,0
Legal services,63,56,49,7,0,0,0,0 0,0 0,7,3,0,4,0 0,0 0,0 1
Social services ....... ........... ................. ................... ......,19,15,12,2,1,0,0,,,3,3,0,0 13,,,
"Museums, art galleries, and botanical and zoological gardens",426,317,282,31,3,0,0,0,1,96,80,3,,2,0,11
Miscellaneous services,95,78,59,17,1,1,0,0,0,17,14,0,3,0,0,0
Services,9209,7530,5906,,79,,17,29,16,1519,1239,40,240,29,• 11,120
Public administration ... ........... ....................,97,,51,1462,,21,,0,0,35,,,,0,,I
,,61,,10,0,0,0,,,,32,1,2,,0,
"Total, all industrial groups",,33106,25751,6491,507,199,44,29,85,5255,4153,155,,,,
,38774,,,,,,,,,,,,947,113,22,278
