row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
An mcn ..K ..g,i X,1 1,i,tcr-l';=- .2,1,11111,0 0 = 0.. •• ■ * N N * et V sirze-r:viocSci
q,p,5,EF ^ 525,1,11111,- 4 4-,"-4""=2-.--"""
12111 1 >8E1,"ill ,",I i,"i""""",1,Hill,i,ill11111
Li l,I,i,R a22 '°',1,11111,1,11111111
,I,i,"r l 'n' ^ led "" 'l",i,"2' 21 2 °""",i,II i I 1111
... - . . qs >Op',I,g,l ' ;'s f:lic;,g,'11;27 '.4,1,11111111
II..,N,N,N0000,0,00000,•-■,-.0000000
"1 IL. ,s,v",N,N,• - ■ - . 000,0,00000,0,00000000
I 4. .3 >11,... N,•■,...-..b -,Va,- . .r1000,,00.-00000
"1 . I., 2 >iv",3,e4. 1,sr-vb..g,74,vt 0 et = N,0,00000000
1 1.,.... el,V .,nchoo•- ■ ::1 4 LI,r i,•0w00e' . 4,N,-.0.-.00000
