Participating unions,Total elections,Percent won by unions,Elections won by unions — Total,Elections won by unions — AFL-CIO unions,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won by unions,Employees eligible to vote — In units won by AFL-CIO,Employees eligible to vote — In units won by Teamsters,Employees eligible to vote — In units won by Other national unions,Employees eligible to vote — In units won by Other local unions,In elections in which no representative chosen
AFL-CIO unions [1-union],2590,41.6,1071,1071,0,0,0,1519,127713,47541,47541,0,0,0,80172
Teamsters [1-union],1219,38.3,467,0,467,0,0,752,35078,12149,0,12149,0,0,22369
Other national unions [1-union],104,51.0,53,0,0,53,0,51,13348,2539,0,0,2539,0,9700
Other local unions [1-union],282,47.5,134,0,0,0,134,148,18200,9700,0,0,0,9700,8546
1-union elections (subtotal),4195,41.1,1725,1071,467,53,134,2470,186576,71899,47541,12119,2539,9700,114677
2-union elections (subtotal),200,80.0,160,67,29,6,18,56,20615,16685,7014,1936,1562,6173,3930
3 (or more)-union elections (subtotal),10,100.0,10,,,,,0,2727,2727,1870,,84,86,0
Total representation elections (GRAND TOTAL — All R wins),4405,43.0,1895,1141,497,62,195,2510,209918,91311,54925,14129,4190,18067,118607
