row_label,Elections and cross checks in which union participated / Number,Elections and cross checks in which union participated / Number of eligible voters,Elections and cross checks in which union participated / Number of valid votes cast,Elections and cross checks won by union / Number,Elections and cross checks won by union / Percent of elections in which union participated,Valid votes cast for union / Number,Valid votes cast for union / Percent of total votes in elections in which union participated
A. F. of L.,3581,506357,432644,2196,61.3,206524,48.2
C. I. O.,3410,622407,539768,2138,62.7,288381,53.4
Unaffiliated,1317,261557,226055,860,65.3,124827,55.2
