row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
National v. Local...............................,5,80.0,4,,2,2,1,492,329,,141,188,163
AFL-CIO v. Local............................,31,77.4,24,18,,6,7,3452,3043,1950,,1093,409
Local v. Local...................................,8,87.5,7,,,7,1,552,546,,,546,6
AFL-CIO v. National........................,18,83.3,15,11,4,,3,1929,1713,793,920,,216
National v. National..........................,3,66.7,2,,2,,1,106,72,,72,,34
AFL-CIO v. AFL-CIO......................,92,73.9,68,68,,,24,5462,3065,3065,,,2397
2-union elections...........................,157,76.4,120,97,8,15,37,11993,8768,5808,1133,1827,3225
AFL-CIO v. AFL-CIO v. Local........,4,100.0,4,4,,0,0,1286,1286,1286,,0,0
AFL-CIO v. Local v. Local.,1,100.0,1,1,,0,0,140,140,140,,0,0
AFL-CIO v. AFL-CIO v. AFL-CIO.,2,100.0,2,2,,,0,95,95,95,,,0
3 (or more)-union elections...........,7,100.0,7,7,0,0,0,1521,1521,1521,0,0,0
Total RC elections.........................,2672,54.6,1459,1294,84,81,1213,205722,79611,69142,5206,5263,126111
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO,34,23.5,8,8,,,26,2350,695,695,,,1655
Other local unions.............................,3,33.3,1,,,1,2,22,6,,,6,16
Other national unions........................,1,0.0,0,,0,,1,30,0,,0,,30
1-union elections...........................,38,23.7,9,8,0,1,29,2402,701,695,0,6,1701
AFL-CIO v. National........................,1,0.0,0,0,0,,1,6,0,0,0,,6
AFL-CIO v. AFL-CIO......................,3,66.7,2,2,,,1,285,241,241,,,44
2-union elections...........................,4,50.0,2,2,0,0,2,291,241,241,0,0,50
Total RMelections........................,42,26.2,11,10,0,1,31,2693,942,936,0,6,1751
