row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
AFL-CIO………………………………..,176638,48326,48326,,,24866,36016,36016,,,67430
National.…………...……………...…….. Local…………………..…………………,"3,716 15,540","1,052 4,657",,"1,052 ----","---- 4,657","423 1,835","862 2,667",,862 ----,"---- 2,667","1,379 6,381"
1-union elections………………,195894,54035,48326,1052,4657,27124,39545,36016,862,2667,75190
AFL-CIO v. AFL-CIO…………………. AFL-CIO v. National…………...……....,"4,193 1,236","3,331 1,224","3,331 742",---- 482,,129 12,274 0,274 0,---- 0,,459 0
AFL-CIO v. Local………………….……,5877,4796,2876,,1920,307,286,46,,240,488
National v. Local………………………...,223,179,,145,34,44,0,,0,0,0
Local v. Local....…..…………….………,832,775,,,775,57,0,,,0,0
2-union elections………………,12361,10305,6949,627,2729,549,560,320-,0,240,947
AFL-CIO v. AFL-CIO v. Local…..…..…,2132,2084,2084,,0,48,0,0,,0,0
3 (or More) union elections...……………,2132,2084,2084,,0,48,0,0,,,0
Total representation elections……….,210387,66424,57359,1679,7386,27721,40105,36336,862,2907,76137
