Method and stage of disposition,All C cases - Number,All C cases - Percent of total closed,All C cases - Percent of total method,UNUSED_DETAIL
Before issuance of complaint,7564,33.9,99.2,
"After issuance of complaint, before opening of hearing",31,0.1,0.4,
"After hearing opened, before administrative law judge's decision",1,0.0,0.0,
"After administrative law judge's decision, before Board decision",23,0.1,0.3,
Dismissal,6402,28.7,100.0,
Before issuance of complaint,6332,28.4,98.9,
"After issuance of complaint, before opening of hearing",46,0.2,0.7,
"After hearing opened, before administrative law judge's decision",1,0.0,0.0,
By administrative law judge's decision,6,0.0,0.0,
By Board decision,17,0.1,0.3,
Adopting administrative law judge's decision (no exceptions filed),14,0.1,0.2,
Contested,3,0.0,0.0,
By appellate-court decision,5,0.0,0.1,
By circuit court decision,5,0.0,0.1,
By Supreme Court decision,0,0.0,0.0,
10(k) notice (see Table 7A for details),,,,
Otherwise (compliance with order of administrative law judge or Board not achieved—firm went out of business),43,0.2,,
