Size of unit (number of employees),Number of employees eligible to vote,Total elections,Percent of total,Cumulative percent of total,Won by unions — Total — Number,Won by unions — Total — Percent by class,AFL-CIO unions — Number,AFL-CIO unions — Percent by class,Teamsters — Number,Teamsters — Percent by class,Other national unions — Number,Other national unions — Percent by class,Other local unions — Number,Other local unions — Percent by class,Elections in which no representative chosen — Number,Elections in which no representative chosen — Percent by class
Total RD elections,30917,573,100.0,,,100.0,122,100.0,43,100.0,0,0.0,8,100.0,400,100.0
Under 10 employees (RD),1505,105,18.3,,22,18.0,,,,,,,8,12.0,,
10-19 employees (RD),1506,105,14.3,,14,13.3,,,6,14.0,,,,,,
