Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Withdrawn,8779,29.5,100.0,6626,29.1,1916,30.4,132,31.4,43,28.1,20,51.3,7,25.9,35,29.9
  Before issuance of complaint (withdrawn),8623,28.9,98.2,6478,28.5,1908,30.3,132,31.4,43,28.1,20,51.3,7,25.9,35,29.9
Dismissed,9327,31.3,100.0,5941,26.1,3210,51.4,78,18.5,31,20.3,6,15.4,7,25.9,28,23.9
  Before issuance of complaint (dismissed),9183,30.8,98.5,5815,25.6,3220,51.1,77,18.3,31,20.3,6,15.6,7,25.9,27,23.1
10(k) actions (see Table 7A for details of dispositions),51,0.2,,0,0.0,0,0.0,0,0.0,51,33.4,0,0.0,0,0.0,0,0.0
Otherwise (compliance with administrative law judge or Board not achieved — first event noted in subgroup or loss of business),196,0.7,100.0,152,0.7,33,0.5,1,0.2,0,0.0,0,0.0,0,0.0,1,0.9
