row_label,All R elections — Total elections,All R elections — Withdrawn or dismissed before election,All R elections — Resulting in rerun or runoff,All R elections — Resulting in certification,RC elections — Total elections,RC elections — Withdrawn or dismissed before election,RC elections — Resulting in rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections,RM elections — Withdrawn or dismissed before election,RM elections — Resulting in rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections,RD elections — Withdrawn or dismissed before election,RD elections — Resulting in rerun or runoff,RD elections — Resulting in certification
All representation elections,3151,89,39,3003,2682,89,36,2557,45,0,0,45,424,0,3,421
Consent elections,7,0,0,7,6,0,0,6,0,0,0,0,1,0,0,1
Stipulated elections,2639,61,37,2541,2225,61,36,2128,37,0,0,37,377,0,1,376
Regional Director-directed,505,28,22,455,451,28,20,403,8,0,0,8,46,0,2,44
