Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Amendment-of-certification cases,Unit-clarification cases,Union-deauthorization cases (UD)
South Atlantic Division — subtotal,4723,4112,3202,1008,111,10,0,0,2,565,479,12,74,3,12,31
East South Central Division — subtotal,1706,1211,565,565,15,5,0,0,1,290,228,8,54,1,10,9
West South Central Division — subtotal,1856,1357,1202,351,12,2,1,0,0,313,213,12,65,3,5,12
Mountain Division — subtotal,1977,1590,,,,,,,,,,,,,,
