Stage of disposition,All R cases / Number of cases closed,All R cases / Percent of cases closed,RC cases / Number of cases closed,RC cases / Percent of cases closed,RM cases / Number of cases closed,RM cases / Percent of cases closed,RD cases / Number of cases closed,RD cases / Percent of cases closed
Total number of cases closed,10242,100.0,9022,100.0,659,100.0,561,100.0
Before issuance of notice of hearing,4778,46.7,4083,45.3,384,58.3,311,55.4
"After issuance of notice of hearing, before opening of hearing",2675,26.1,2419,26.8,148,22.4,108,19.3
"After hearing opened, before issuance of Board decision",460,4.5,402,4.4,27,4.1,31,5.5
After issuance of Board decision,2329,22.7,2118,23.5,100,15.2,111,19.8
