Industrial group,Number of elections Total,In which representation rights were won by AFL-CIO affiliates,In which representation rights were won by Unaffiliated unions,In which no representative was chosen,Eligible voters,Valid votes cast
Total,6571,2665,1487,2419,489365,441909
Manufacturing,4002,1561,720,1721,364449,333649
Food and kindred products,692,165,179,268,35479,30279
Textile Mill products,66,22,11,33,10382,9421
Apparel and finished products from fabrics and similar materials,72,25,7,40,8437,7729
Lumber and wood products (except furniture),173,57,32,84,12317,11094
Furniture and fixtures,143,59,12,72,13478,12184
Paper and allied products,172,79,34,62,12760,11696
"Printing, publishing, and allied industries",201,98,68,95,6523,6005
Chemicals and allied products,399,130,63,116,30258,27030
Primary metal industries,246,102,55,109,28525,21844
Fabricated metal products (except machinery and transportation equipment),470,197,62,211,30928,28287
Machinery (except electrical),369,169,65,172,28468,25164
"Electrical machinery, equipment, and supplies",295,116,36,143,64261,58588
"Agriculture, forestry, and fisheries",1,1,0,0,43,43
Mining,24,20,1,3,5329,4620
Construction,130,65,15,50,6055,4169
Wholesale trade,555,137,253,165,15491,14003
Retail trade,825,425,132,287,34717,30191
"Finance, insurance, and real estate",34,13,5,17,1463,1290
"Transportation, communication, and other public utilities",685,206,258,221,39034,35014
"Motor freight, warehousing, and transportation services",425,63,217,145,16718,14941
Communications,74,44,7,23,8049,7293
Services,385,157,89,139,21204,16950
