Standard Federal Region,All cases,All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauth. cases / UD,Amend. cert. cases / AC,Unit clarif. cases / UC
Region VIII,1092,956,,129,7,0,0,,111,97,,14,,2,9
Arizona,375,,,,,,,,44,,,,,,
California,4340,3574,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,,,,,
Region IX,5353,4343,3253,1097,70,15,4,34,768,651,29,108,4,9,46
Alaska,156,,,,,,,,,,,,,,
Idaho,110,,,,,,,,,,,,,,
Oregon,,,,,,,,,,,,,,,
Washington,966,748,,,,,,,,,,,,,
Region X,1634,1238,993,256,14,8,1,4,359,297,15,47,2,8,28
"Total, all States and areas",39696,33436,25800,6673,380,180,34,131,5282,4792,166,843,29,87,268
