row_label,col_1,col_2,col_3,col_4
6 -UA-408,Frick Co.,7-UA-1193,Hudson Motor Car Co.,Hudson Motor Car Co.
20-UA-1141,Fruit Growers Supply Co.,19-UA-1216,"Hunnicutt, Inc.","Hunnicutt, Inc."
16-UA-219,"Fry, Lloyd A., Roofing Co.",13-UA-1282,"Illinois Greyhound Lines,","Illinois Greyhound Lines,"
4-UA-945,Fuller Co.,,Inc.,Inc.
18-UA-967,Gamble Robinson Co.,18-UA-991 31-UA-351,Industrial Aggregate Co. Inland Container Corp.,Industrial Aggregate Co. Inland Container Corp.
9-UA-669,General Box Co. General Chemical.,19-UA-880,"Inland Empire Refineries, Inc.","Inland Empire Refineries, Inc."
14-UA-1408 20-UA-1120,General Chemical Co.,19-UA-1214,Inland Transfer Service.,Inland Transfer Service.
19-UA-1218,General Delivery.,8-UA-564,International Harvester,International Harvester
21-UA-1272,"General Electric Appli- ances, Inc.",9-UA-805,Co. International,Harvester
1-UA-1445 19-UA-597,General Motors Corp. G. M. C. Truck & Coach,13-UA-734,Co. International,Harvester
8-UA-1146,"Division. General Tire & Rubber Co., The.",13-UA-744,Co. International Co.,Harvester
,"Gettle, Homer R. Gilchrist Co.",,International,Harvester
13-UA-1536 1-UA-1679,,13-UA-1261,,
2-17A-3397,Glens Falls Por t,13-UA-1280,Co. International,Harvester
,land Cement Co.,,Co. International,Harvester
1-UA-2131,Gloucester Ice & Cold Storage Co.,16-UA-231,Co.,
10-UA-109 9-UA-576,"Gold Tex Fabrics Corp. Goodrich, B. F., Chem- ical Co.",19-UA-498 19-UA-530,International Co. International,"Harvester ,Harvester"
13-UA-1493 14-UA-1457,"Goodrich, B. F., Co. Goodrich, B. F., Tire Store.",19-UA-920,Co. International,Harvester
14-UA-1458,Goodyear Tire & Rubber Co.,21-UA-1547,Co. International Co.,Harvester
19-UA-1220,Grand Coulee Motor,36-UA-669,International Harvester.,International Harvester.
36-UA-1197,Freight. Great Lakes Carbon Corp.,2-UA-3696,International-Plainfield Motor Co.,International-Plainfield Motor Co.
15-UA-285 9-UA-396,Greyhound Corp. Greyhound Terminal of,14-UA-1529,Jackes-Evans Manufac- turing Co.,Jackes-Evans Manufac- turing Co.
,"Cincinnati, Inc.",36-UA-731,Jarman's. Johns-Manville Corp.,Jarman's. Johns-Manville Corp.
18-UA-1126 21-UA-1086 9-UA-279,Griggs Cooper Co. Groves' Bakery.,4-UA-796 20-UA-1407,Johns-Manville Products,Johns-Manville Products
8-UA-758,"Gruen National Watch Case Co. Gulf Refining Co., The.",33-UA-24,"Corp. Johnson, Charles Eneu","Corp. Johnson, Charles Eneu"
9-UA-689,Gulf Refining Co.,7-UA-691,& Co.,& Co.
21-UA-773,Hall Scott Motor Car Co.,7-UA-1001,Kawneer Co.,Kawneer Co.
6-UA-510,Hanley Co.,7-UA-1124,Kelsey Hayes Wheel Co. Kelsey Hayes Wheel Co.,Kelsey Hayes Wheel Co. Kelsey Hayes Wheel Co.
6-UA-511,Hanley Co.,9-UA-696,,
36-UA-734,Hartke Motors.,,Kentucky Independent Packing Co.,Kentucky Independent Packing Co.
31-UA-192,Hasco Valve & Machine Co.,13-UA-1202,Keystone Steel & Wire,Keystone Steel & Wire
37-UA-6,"Hawaiian Electric Co., Ltd., The.",18-UA-939,"Co. King, H. H., Flour Mills","Co. King, H. H., Flour Mills"
18-UA-990,"Hedberg Friedheirn Co., Inc.",10-UA-39,"Co. King, T. C., Pipe Co.","Co. King, T. C., Pipe Co."
19-UA-1219,,7-UA-486,Lakey Foundry &,Ma-
4-UA-492,Helphrey Motor Freight. Hercules Cement Corp.,,chine Co.,
4-UA-819,"Hill, C. V., and Co., Inc.",14-UA-1425,"Larkin Packer Co. Landers, Norblom &","Larkin Packer Co. Landers, Norblom &"
36-UA-934,"Hitchman, E. R.",18-UA-992,Christenson Co.,Christenson Co.
8-UA-903,Home Bank Building,4-UA-'780,Lawrence Hose Co.,Lawrence Hose Co.
,Co. Honolulu Rapid Transit,,Lawrence Portland Ce-,Lawrence Portland Ce-
37-UA-14,,1-UA-1484,ment Co.,ment Co.
,"Co., Ltd.",,,
