Item,All cases / Number of cases,All cases / Formal actions,NLRA C cases / Number of cases,NLRA C cases / Formal actions,LMRA CA cases / Number of cases,LMRA CA cases / Formal actions,Other C cases / Number of cases,Other C cases / Formal actions,NLRA R cases / Number of cases,NLRA R cases / Formal actions,LMRA R cases / Number of cases,LMRA R cases / Formal actions,Union authorization cases / Number of cases,Union authorization cases / Formal actions
Complaints issued,305,207,104,93,139,86,62,42,,,,,,
Cases heard,1344,1135,,,,,,,4,28,,,,
Intermediate reports issued,129,113,,,,,,,,,,,,
"Decisions issued, total",2054,1947,181,,,,,,,,,,,
Decisions issued — Decisions and orders,168,146,164,144,2,2,1,1,,,,,,
Decisions issued — Decisions and consent orders,22,22,,,,,,,,,,,,
Decisions issued — Elections directed,,,,,,,,,332,292,226,225,33,3
Decisions issued — Certifications and dismissals after stipulated elections,687,687,,,,,,,1,,545,545,121,121
Decisions issued — Decisions on appeals,433,433,,,,,,,,,,,433,433
