Type of election,All R elections — Total elections,All R elections — Withdrawn or dismissed before certification,All R elections — Resulting in a rerun or runoff,All R elections — Resulting in certification,RC elections — Total elections,RC elections — Withdrawn or dismissed before certification,RC elections — Resulting in a rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections,RM elections — Withdrawn or dismissed before certification,RM elections — Resulting in a rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections,RD elections — Withdrawn or dismissed before certification,RD elections — Resulting in a rerun or runoff,RD elections — Resulting in certification
All types,4533,52,76,4405,3353,49,63,3241,246,1,3,242,934,2,10,922
Rerun required (All types),,,63,,,,52,,,,2,,,,9,
Runoff required (All types),,,13,,,,11,,,,1,,,,1,
Consent elections,175,2,0,173,110,2,0,108,11,0,0,11,54,0,0,54
Stipulated elections,3581,38,52,3491,2628,36,42,2550,163,0,2,161,740,2,8,730
Regional director-directed,763,11,17,734,569,11,15,543,64,1,0,63,130,0,2,128
Board-directed,39,3,0,36,32,3,0,29,0,0,0,0,7,0,0,7
Expedited—see 8(b)(7)(C),25,0,4,21,14,0,3,11,8,0,1,7,3,0,0,3
