Item,Number
After review of regional director decisions,50
On objections and/or challenges,208
Other decisions,2
Clarification of bargaining unit,0
Amendment to certification,0
Union-deauthorization,2
Noncontested decisions,1016
Unfair labor practice,451
Representation,561
Other,4
