Type of formal actions taken,Cases in which formal actions taken,Total formal actions taken,CA,CB,CC,CD - Jurisdictional disputes,CD - Unfair labor practices,CE,CG,CP,CA combined with CB,C combined with R representation cases,Other C combinations
"10(b) notices of hearings issued, total",73,70,,,,,,,,,,,
"Hearings completed, total",717,658,543,77,18,16,,,,4,,,
"Decisions by administrative law judges, total",668,623,528,71,20,,,,,,,,
"Decisions and orders by the Board, total",1599,1007,759,152,46,18,,,,1,6,,13
Upon course of action,,,,,,,,,,,,,
