Industrial group,Number of elections,Winner — A.F. of L. affiliates,Winner — C.I.O. affiliates,Winner — Unaffiliated unions,Winner — No union,Eligible voters,Valid votes cast
Total,6432,2650,1373,733,1674,666556,587595
Manufacturing,4479,1696,1160,516,1107,549658,487384
Ordnance and accessories,7,5,2,0,0,1903,1695
Food and kindred products,633,335,86,55,187,49882,41710
Tobacco manufactures,24,9,5,4,6,8787,7770
Textile-mill products,171,24,54,6,87,43656,39827
Apparel and other finished products made from fabrics and similar materials,132,45,32,6,49,17168,15896
Lumber and wood products,229,94,73,4,58,19210,16570
Furniture and fixtures,180,69,48,10,53,19110,17492
Paper and allied products,148,84,27,5,32,20411,18334
"Printing, publishing, and allied industries",205,95,55,15,39,7210,6284
Chemicals and allied products,353,123,63,19,134,29184,26786
Products of petroleum and coal,110,40,29,17,23,9033,8202
Rubber products,69,18,30,8,13,10846,9482
Leather and leather products,70,22,15,9,24,4931,3807
"Stone, clay, and glass products",170,71,25,23,41,13750,12160
Primary metal industries,283,86,88,46,60,50245,45342
Fabricated metal products except transportation equipment,454,162,114,43,128,40206,36332
Machinery (except electrical),528,137,172,111,108,69974,63164
"Electrical machinery, equipment and supplies",274,101,72,37,64,54884,47204
Transportation equipment,237,75,71,30,60,36259,32315
"Agriculture, forestry, and fisheries",0,0,0,0,0,0,0
Mining,57,17,10,18,12,3460,4911
Construction,42,19,5,3,16,3675,2808
Wholesale trade,340,202,66,28,144,19672,16322
Retail trade,626,262,60,44,271,27094,23902
"Finance, insurance, and real estate",37,16,8,1,13,11323,10402
"Transportation, communication, and other public utilities",509,273,41,86,109,44561,37615
Services,142,65,9,9,33,5033,4341
