row_label,Total proceedings,"Injunction proceedings / Pending in district court July 1, 1970",Injunction proceedings / Filed in district court fiscal year 1971,Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court June 30, 1971"
"Under sec. 10(e), total",6,6,0,6,0,4,0,1,1,0,0
"Under sec. 10(j), total",16,3,13,14,8,2,3,0,0,1,2
8(a)(1),2,0,2,1,0,1,0,0,0,0,1
8(a)(1)(2),1,0,1,1,1,0,0,0,0,0,0
8(a)(1)(3),1,0,1,1,0,0,1,0,0,0,0
8(a)(1)(3)(5),2,0,2,1,1,0,0,0,0,0,1
8(a)(1)(3)(5)(A)(1)(A)(2),1,1,0,1,1,0,0,0,0,0,0
8(a)(1)(5),2,0,2,2,0,0,2,0,0,0,0
8(a)(3),4,1,3,4,4,0,0,0,0,0,0
8(a)(5),3,1,2,2,1,1,0,0,0,0,0
"Under sec. 10(l), total",253,14,239,249,110,7,93,14,18,7,4
8(b)(4)(A),2,0,2,1,0,0,1,0,0,0,1
8(b)(4)(B),96,5,91,94,32,3,47,4,7,1,2
8(b)(4)(C),3,0,3,3,0,0,3,0,0,0,0
8(b)(4)(D),17,0,17,17,9,0,5,1,2,0,0
8(b)(7)(A),9,1,8,9,2,0,4,1,2,0,0
8(b)(7)(B),1,0,1,1,0,0,1,0,0,0,0
8(b)(7)(C),11,0,11,11,1,0,9,0,1,0,0
