Participating unions,Total elections,Percent won,Total won,AFL-CIO unions,Other national unions,Other local unions,Elections in which no representative chosen,Total,In elections won by unions,In units won by — AFL-CIO unions / AFL-CIO unions,In units won by — Other national unions / Other national unions,In units won by — Other local unions / Other local unions,In elections where no representative chosen
AFL-CIO v. Local,35,85.7,30,18,,12,5,7168,4895,2298,,2597,2273
National v. Local,8,75.0,6,,1,5,2,1159,959,,117,833,243
Local v. Local,9,100.0,9,,,9,0,881,881,,,881,0
2-union elections (RC sub),94,80.9,76,44,8,24,18,15949,10129,5011,807,4311,5820
3 (or more)-union elections (RC sub),2,100.0,2,2,,,0,231,231,231,,,0
Total RC elections,3029,50.6,1533,1336,62,135,1496,215562,92008,75852,6326,9630,123554
C. Elections in RM cases,,,,,,,,,,,,,
Total RM elections,46,39.1,18,15,1,2,29,2037,1277,1237,,40,760
D. Elections in RD cases,,,,,,,,,,,,,
