row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October 1, 1983",96452,7533,2189,876,968,4872,14
Received fiscal 1984,24852,11057,2888,630,1360,8912,v 5
On docket fiscal 1984,41304,18590,5077,1506,2328,13784,19
Closed fiscal 1984,27162,11825,3225,916,1482,9703,II
"Pending September 30, 1984",14142,6765,1852,590,846,4081,8
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October I, 1983","*2,972",42,15,10,33,2099,773
Received fiscal 1984,8899,52,13,7,52,7334,1441
On docket fiscal 1984,11871,94,28,17,85,9433,2214
Closed fiscal 1984,8652,60,16,7,52,6989,1528
"Pending September 30, 1984",3219,34,12,10,33,2444,686
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October I, 1983",.810,14,2,0,14,9,771
Received fiscal 1984,1108,16,0,3,16,4,1069
On docket fiscal 1984,1918,30,2,3,30,13,1840
Closed fiscal 1984,1236,20,1,3,20,8,1184
"Pending September 30, 1984",682,10,1,0,10,5,656
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
"Pending October I, 1983",• 175,8,0,0,4,2,161
Received fiscal 1984,283,11,0,0,II,2,259
On docket fiscal 1984,458,19,0,0,15,4,420
Closed fiscal 1984,319,11,0,0,12,4,292
"Pending September 30, 1984",139,8,o,o,3,0,128
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October 1, 1983",.65,0,0,0,5,1,59
Received fiscal 1984,63,2,2,0,0,1,58
On docket fiscal 1984,128,2,2,0,5,2,117
Closed fiscal 1984,65,2,2,0,0,0,61
"Pending September 30, 1984",63,0,0,0,5,2,56
,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases
"Pending October I, 1983",96,0,0,0,0,1,15
Received fiscal 1984,34,0,0,0,2,0,32
On docket fiscal 1984,50,0,0,0,2,1,47
Closed fiscal 1984,33,0,0,0,1,1,31
"Pending September 30, 1984",17,0,0,0,1,0,16
,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases
"Pending October 1, 1983",996,4,0,0,1,2,189
Received fiscal 1984,290,4,0,0,4,4,278
On docket fiscal 1984,486,8,0,0,5,6,467
Closed fiscal 1984,316,5,0,0,5,2,304
"Pending September 30, 1984",170,3,0,0,0,4,163
