row_label,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Real Estate and Rental and Leasing (NAICS 53) — sector subtotal,391,286,222,57,5,0,0,0,2,101,72,7,22,1,0,3
"Administrative and Support, Waste Management and Remediation Services (NAICS 56) — sector subtotal",1711,1411,980,417,7,3,1,0,4,273,237,7,33,12,2,13
Educational Services (NAICS 61) — sector subtotal,414,338,264,68,5,0,0,0,0,68,60,2,6,2,1,5
Health Care and Social Assistance (NAICS 62) — sector subtotal,3907,3134,2660,423,14,1,0,0,33,685,534,14,137,22,1,65
Accommodation and Food Services (NAICS 72) — sector subtotal,1148,987,731,244,8,1,0,0,3,147,109,0,37,7,0,5
