Industrial group,All cases,All-C (ULP) cases,CA,CB,CC,CD,CE,CG,CP,All-R (Representation) cases,RC,RM,RD,UD,AC,UC
"Measuring/analyzing/controlling instruments, photographic, medical and optical goods, watches and clocks",175,153,132,30,1,0,0,0,0,22,14,4,4,0,0,3
Miscellaneous manufacturing industries,373,313,229,78,6,0,0,0,0,60,33,3,16,0,1,7
Construction,4642,3956,3346,453,85,8,0,1,60,667,601,31,35,1,2,14
Wholesale trade,1302,1083,891,173,19,0,0,0,0,219,165,15,29,0,1,9
Retail trade,3083,2640,1857,591,167,,,,,443,346,13,61,0,5,18
US Postal Service,1016,1003,962,41,0,0,0,0,0,13,1,11,1,0,0,0
Health services,2551,1648,,,,,,,,907,725,33,131,,,
