row_label,col_1,col_2,col_3,col_4
"Cases pending July 1, 1944",54,43,6,5
"Cases received July 1944, June 30, 1945",1284,731,266,297
"Cases on docket July 1944, June 30, 1945",1338,774,262,302
"Cases closed July 1944, June 30, 1945",1183,665,234,284
Method of disposition:,,,,
Poll conducted,404,243,47,114
Withdrawn,727,391,173,163
Closed otherwise,62,31,14,7
,,109,28,18
"Cases pending June 30, 1945",155,,,
