Stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,38041,100.0,27454,100.0,8324,100.0,1420,100.0,370,100.0,90,100.0,40,100.0,343,100.0
Before issuance of complaint,32063,84.3,22451,81.8,7641,91.8,1212,85.4,355,95.9,68,75.6,34,85.0,305,88.9
"After issuance of complaint, before opening of hearing",4618,12.1,3889,14.0,545,6.5,175,12.3,9,,18,20.0,5,12.5,27,7.9
"After hearing opened, before issuance of administrative law judge's decision",188,0.5,158,0.6,25,0.3,8,0.6,1,,0,0,0,0,0,0
"After administrative law judge's decision, before issuance of Board decision",45,0.1,38,0.1,6,0.0,0,0,0,0,1,1.1,0,0,0,0
After Board order adopting administrative law judge's decision (no exceptions filed),431,1.1,362,1.3,45,0.5,16,1.1,5,1.4,1,1.1,1,2.5,6,1.7
"After Board decision, before circuit court action",322,0.8,288,1.0,27,0.3,4,0.3,0,0,1,1.1,0,0,0,0
"After circuit court decree, before Supreme Court action",289,0.8,250,0.9,32,0.4,4,0.3,0,0,1,1.1,0,0,0,0
After Supreme Court action,11,0.0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0
