Type of action,All cases — Number of cases,All cases — Formal actions,Unfair labor practice cases — NLRA C cases — Number of cases,Unfair labor practice cases — NLRA C cases — Formal actions,Unfair labor practice cases — LMRA C cases — CA cases — Number of cases,Unfair labor practice cases — LMRA C cases — CA cases — Formal actions,Unfair labor practice cases — LMRA C cases — Other C cases — Number of cases,Unfair labor practice cases — LMRA C cases — Other C cases — Formal actions,Representation cases — NLRA R cases — Number of cases,Representation cases — NLRA R cases — Formal actions,Representation cases — LMRA R cases — Number of cases,Representation cases — LMRA R cases — Formal actions,Union-authorization cases — Number of cases,Union-authorization cases — Formal actions
Complaints issued,417,424,76,61,299,309,142,54,,,,,,
Notices of hearing issued,2129,1713,1,94,,,,,17,17,2055,1686,9,8
Cases heard,2292,1798,73,73,265,213,85,33,18,14,,,,
Intermediate reports issued,326,198,188,237,26,25,82,30,,,,,,
Decisions issued,3365,2891,191,174,227,145,64,42,69,70,2429,2111,383,383
Decisions and orders,342,261,159,150,127,83,48,32,,,,,,
Decisions and consent orders,142,91,24,24,,,,,,,,,,
Elections directed,1434,1222,,,,,,,31,31,1400,1184,,
Certifications and dismissals after stipulated elections,,,,,,,,,43,31,684,677,61,61
Dismissals on record,703,563,,,,,,,,,,,,
Certifications after regional Director directed elections,311,311,,,,,,,,,,,,
