Type of election,All R cases / Total representation elections,All R cases / Objections and/or challenges Number of total R elections involved,All R cases / Objections and/or challenges Percent of total R elections,RC cases / Total RC elections,RC cases / Number of total RC elections involved,RC cases / Percent of total RC elections,RM cases / Total RM elections,RM cases / Number of total RM elections involved,RM cases / Percent of total RM elections,RD cases / Total RD elections,RD cases / Number of total RD elections involved,RD cases / Percent of total RD elections,UD cases / Total union deauthorization elections,UD cases / Number of total UD elections involved,UD cases / Percent of total UD elections
"All types, total",7529,1151,15.4,6940,1092,15.7,369,46,12.5,220,25,11.4,34,5,14.7
All types — Objections alone or with challenges,,651,,,797,,,30,,,21,,,4,
All types — Challenges only,,310,,,295,,,10,,,4,,,1,
"In consent elections, total",3453,421,12.3,3147,394,12.5,180,18,10.0,100,9,9.5,8,1,12.8
"In stipulated elections, total",2438,373,15.3,2280,354,15.5,109,12,11.0,49,8,16.2,0,0,0
"In expedited elections, total",16,6,37.5,12,0,0,3,1,33.3,1,1,100.0,,,
"In regional director-ordered elections, total",1531,322,20.8,1434,309,21.6,56,7,12.5,41,6,14.6,,,
"In Board-ordered elections, total",91,34,40.7,79,34,43.0,9,4,44.4,3,1,33.3,,,
Each election type also has 2,,,,,,,,,,,,,,,
