row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO..........................................,2583,51.3,1324,1315,9,,1259,165920,66910,66595,315,,99010
Other local unions..............................,121,62.8,76,,1,75,45,9485,5015,,653,4362,4470
Other national unions........................,93,62.4,58,,58,,35,6091,2724,,2724,,3367
1-union elections..........................,2797,52.1,1458,1315,68,75,1339,181496,74649,66595,3692,4362,106847
AFL-CIO v. AFL-CIO......................,66,78.8,52,52,,,14,5384,3935,3935,,,1449
AFL-CIO v. Local............................,34,88.2,30,18,1,11,4,6205,5626,1778,16,3832,579
AFL-CIO v. National........................,9,88.9,8,6,2,,1,530,347,194,153,,183
Local v. Local....................................,9,100.0,9,,,9,0,1963,1963,,,1963,0
National v. Local..............................,5,100.0,5,,1,4,0,342,342,,97,245,0
National v. National..........................,14,100.0,14,,14,,0,481,481,,481,,0
2-union elections..........................,137,86.1,118,76,18,24,19,"14,905 14","12,694 14","5,907 14",747 --,6040,"2,211 0"
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO........................................,1,100.0,1,1,,,0,,,,,,
AFL-CIO v. AFL-CIO v. National....,1,100.0,1,1,0,,0,116,116,116,0,,0
National v. Local v. Local................ 3 (or more)-union elections..........,1 3,100.0 100.0,1 3,-- 2,0 0,1 1,0 0,26 156,26 156,-- 130,0 0,26 26,0 0
Total representation elections........,2937,53.8,1579,1393,86,100,1358,196557,87499,72632,4439,10428,109058
