row_label,col_1,col_2
TABLE ..........................................................................................................PAGE,TABLE ..........................................................................................................PAGE,
1.,"Total Cases Received, Closed, and Pending...........................................91",
1A.,"Unfair Labor Practice Cases Received, Closed, and Pending.................92",
1B.,"Representation Cases Received, Closed, and Pending............................93",
2.,Types of Unfair Labor Practices Alleged,...............................................94
3A.,Formal Actions Taken in Unfair Labor Practice Cases...........................96,
3B.,Formal Actions Taken in Representation and Union Deauthorization Cases ............................................................................97,
3C.,Formal Actions Taken in Amendment of Certification and Unit Clarification Cases..................................................................................98,
4.,Remedial Actions Taken in Unfair Labor Practice Cases Closed...........99,
5.,Industrial Distribution of Cases Received,............................................101
6A.,Geographic Distribution of Cases Received,.........................................106
6B.,Standard Federal Administrative Regional Distribution of Cases Received .....................................................................................109,
7.,Analysis of Methods of Disposition of Unfair Labor Practice Cases Closed.........................................................................................111,
7A.,Analysis of Methods of Disposition of Jurisdictional Dispute Cases Closed Prior to Unfair Labor Practice Proceedings ..............................113,
8.,Disposition by Stage of Unfair Labor Practice Cases Closed...............114,
9.,Disposition by Stage of Representation and Union Deauthorization Cases Closed ..............................................................115,
10.,Analysis of Methods of Disposition of Representation and Union Deauthorization Cases Closed ..............................................................116,
10A.,Analysis of Methods of Disposition of Amendment of Certification and Unit Clarification Cases Closed................................117,
11.,Types of Elections Resulting in Certification in Cases Closed.............118,
11A.,Analysis of Elections Conducted in Representation Cases Closed.......119,
11B.,Representation Elections in Which Objections and/or Determinative Challenges Were Ruled On in Cases Closed.................120,
11C.,"Objections Filed in Representation Cases Closed, by Party Filing",.......121
11D.,Disposition of Objections in Representation Cases Closed,..................122
11E.,Results of Rerun Elections Held in Representation Cases Closed,........123
12.,Results of Union-Shop Deauthorization Polls in Cases Closed............124,
