Participating unions,Total elections,Percent won,Elections won by unions - Total won,Elections won by unions - AFL-CIO unions,Elections won by unions - Teamsters,Elections won by unions - Other national unions,Elections won by unions - Other local unions,Elections in which no representative chosen,Employees eligible to vote - Total,Employees eligible to vote - In elections won,Employees eligible to vote - In units won by AFL-CIO unions,Employees eligible to vote - In units won by Teamsters,Employees eligible to vote - In units won by other national unions,Employees eligible to vote - In units won by other local unions,In elections in which no representative chosen
B. Elections in RC cases — AFL-CIO,3788,45.2,1711,1711,,,,2077,251190,77787,77787,,,,173403
Teamsters,1879,40.8,767,,767,,,1112,68652,18863,,18863,,,49789
Other national unions,190,54.7,104,,,104,,86,10665,4178,,,4178,,6487
Other local unions,249,54.6,136,,,,136,113,13753,6105,,,,6105,7724
1-union elections,6106,44.5,2718,1711,767,104,136,3388,344260,106933,77787,18863,4178,6105,237327
2-union elections,323,76.2,246,128,42,15,61,77,50431,36579,20065,5244,4893,6377,13852
3 (or more)-union elections,10,80.0,8,4,3,1,,2,882,348,187,86,75,,534
Total RC elections,6439,46.2,2972,1843,812,120,197,3467,395573,143860,98039,24193,9146,12482,251713
