Participating unions,Total elections,Percent won,Elections won by Total,Elections won by AFL-CIO,Elections won by Teamsters,Elections won by Other national,Elections won by Other local,Elections in which,Employees eligible to vote Total,Won by AFL-CIO,Won by Teamsters,Won by Other national,Won by Other local,col_14
Total RD elections,221,29.0,64,45,18,0,1,157,10510,4449,3360,0,72,6061
1-union elections (subtotal),207,24.2,50,32,17,0,1,157,9486,3373,3127,0,72,
1-union election affiliation,,,,,,,,,,,,,,
2-union elections (subtotal),12,100.0,12,4,7,0,0,0,936,936,358,506,0,72
2-union affiliation-pair,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),2,100.0,2,2,,,,,138,138,75,63,0,0
