row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Washington Oregon,,188,77,49,17,5,6,111,5807,4859,2210,1425,299,243,243,2649,2481
,,91,29,18,7,2,2,62,3495,2933,1286,895,247,26,118,1647,1076
California,,710,275,168,60,13,34,435,37419,31076,14047,9408,2611,588,1440,17029,11511
Alaska,,,23,4 3,1,0,0,19,1037,794,242,122,80,24,16,552,73
Hawaii,,,41,19,2,3,7,22,2520,2082,1247,567,344,167,169,835,1216
Guam,,0,0,7 0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific .,Pacific .,Pacific .,1053,404 245,87,23,49,649,50278,41744,19032,12417,3581,1048,1986,22712,16357
Puerto Rico,Puerto Rico,Puerto Rico,45,34 8,6,0,20,11,3240,2906,2287,522,216,51,1498,619,2614
Virgin Islands,,,7,5 3,0,0,2,2 13,262,198,108,72,0 216,0 51,36,90,149
Outlying Areas,Outlying Areas,Outlying Areas,52,39 11,6,0,22,,3502,3104,2395,594,,,1534,709,2763
"Total, all States and areas","Total, all States and areas","Total, all States and areas",5116,"2,064 1,240",525,76,223,3052,297764,257599,119387,77934,18461,6156,16836,138212,103534
