row_label,Industrial group,All cases,Unfair labor practice cases — All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases — All R cases,RC,RM,RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Mining (subtotal),1260,1170,,,,,,,,,,,,,,,
Construction (subtotal — major NLRB sector),5961,4929,,,,,,,,,,,,,,,
