Party filing,All cases,Unfair labor practice cases / Number,Unfair labor practice cases / Workers involved,Representation cases / Number,Representation cases / Workers involved
Total,10977,4967,3296852,6010,1901998
A. F. of L. affiliate,4787,2178,819674,2609,561029
C. I. O. affiliate,4922,2198,1428824,2724,1131635
Unaffiliated union,775,180,540788,595,190369
Individual worker,417,417,509138,,
Employer,84,,,84,19288
