Participating unions,Number of elections and cross-checks,Elections won by petitioner / Number,Elections won by petitioner / Percent,Valid votes cast for / Total,Valid votes cast for / A. F. of L.,Valid votes cast for / C. I. O.,Valid votes cast for / Unaffiliated union,Valid votes cast for / No union,Percent of total votes cast for petitioner
Total,4919,3676,74.7,893758,215453,350295,140821,187189,56.6
"A. F. of L. affiliate, petitioner",1919,1400,75.5,291915,170789,42436,15029,63209,58.5
"C. I. O. affiliate, petitioner",2398,1788,74.6,451856,33690,284731,41646,104629,58.5
"Unaffiliated union, petitioner",577,428,74.2,142682,6038,16481,84107,18855,49.0
Employer petitioner,25,,,7305,5047,,,250,
