Participating unions,Total elections,Percent won,Elections won by unions — Total,Elections won by unions — AFL-CIO,Elections won by unions — Teamsters,Elections won by unions — Other national,Elections won by unions — Other local,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won,Employees eligible to vote — In units won by AFL-CIO,Employees eligible to vote — In units won by Teamsters,Employees eligible to vote — In units won by Other national,Employees eligible to vote — In units won by Other local,Employees eligible to vote — In elections where no rep
Teamsters v. Teamsters (2-union RD),1,100.0,1,,1,,,,54,54,,54,,,0
Local v. local (2-union RD),2,100.0,2,,,,2,0,283,283,,,,283,0
2-union elections (RD) — Total,28,96.4,27,11,8,4,4,1,3524,2416,1715,1155,27,519,108
AFL-CIO v. AFL-CIO v. local (3-union RD),3,100.0,3,3,,,,1,340,340,30,,,,340
AFL-CIO v. Teamsters v. Teamsters (3-union RD),1,100.0,1,,1,,,0,30,30,,8,,,22
AFL-CIO v. national v. local (3-union RD),1,100.0,1,1,,,,0,17,17,17,,,,0
3-or-more-union elections (RD),5,100.0,5,5,2,1,0,0,387,387,25,0,0,0,0
Total RD elections,453,30.5,138,81,33,13,11,315,20007,9913,6522,2057,431,903,10094
