Type of election,All R elections — Elections conducted — Total elections,All R elections — Elections conducted — Withdrawn or dismissed before certification,All R elections — Elections conducted — Resulting in a rerun or runoff,All R elections — Elections conducted — Resulting in certification,RC elections — Elections conducted — Total elections,RC elections — Elections conducted — Withdrawn or dismissed before certification,RC elections — Elections conducted — Resulting in a rerun or runoff,RC elections — Elections conducted — Resulting in certification,RM elections — Elections conducted — Total elections,RM elections — Elections conducted — Withdrawn or dismissed before certification,RM elections — Elections conducted — Resulting in a rerun or runoff,RM elections — Elections conducted — Resulting in certification,RD elections — Elections conducted — Total elections,RD elections — Elections conducted — Withdrawn or dismissed before certification,RD elections — Elections conducted — Resulting in a rerun or runoff,RD elections — Elections conducted — Resulting in certification
All representation elections,3077,91,74,2912,2583,86,65,2432,60,1,0,59,434,4,9,421
Rerun required,,,68,,,,59,,,,0,,,,9,
Runoff required,,,6,,,,6,,,,0,,,,0,
Consent elections,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0
Stipulated elections,2562,59,48,2455,2150,57,42,2051,49,1,0,48,363,1,6,356
Stipulated elections — Rerun required,,,46,,,,40,,,,0,,,,6,
Stipulated elections — Runoff required,,,2,,,,2,,,,0,,,,0,
Regional Director-directed,509,32,26,451,429,29,23,377,9,0,0,9,71,3,3,65
Board-directed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expedited Sec. 8(b)(7)(C),2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
