Size of establishment (number of employees),Total / Total number of situations,Total / Percent of all situations,Total / Cumulative percent of all situations,Type of situations / CA Number of situations,Type of situations / CA Percent by size class,Type of situations / CB Number of situations,Type of situations / CB Percent by size class,Type of situations / CC Number of situations,Type of situations / CC Percent by size class,Type of situations / CD Number of situations,Type of situations / CD Percent by size class,Type of situations / CE Number of situations,Type of situations / CE Percent by size class,Type of situations / CG Number of situations,Type of situations / CG Percent by size class,Type of situations / CP Number of situations,Type of situations / CP Percent by size class,Type of situations / CA-CB combinations Number of situations,Type of situations / CA-CB combinations Percent by size class,Type of situations / Other C combinations Number of situations,Other C combinations Percent by size class
"4,000-4,999",130,0.4,95.9,76,0.3,46,0.8,3,0.7,0,0.0,0,0.0,2,4.7,0,0.0,3,0.5,0,0.0
"5,000-9,999",584,1.9,97.8,440,1.9,128,2.3,1,0.2,0,0.0,0,0.0,,,0,0.0,12,2.0,0,0.0
"Over 9,999",678,2.2,100.0,550,2.4,114,2.1,4,0.9,1,0.6,0,0.0,,,0,0.0,9,1.5,0,0.0
