Participating unions,Total elections,Percent won by unions,Elections won by unions — Total,Elections won by unions — AFL-CIO unions,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won,Employees eligible to vote — In units won by AFL-CIO,Employees eligible to vote — In units won by Teamsters,Employees eligible to vote — In units won by Other national unions,Employees eligible to vote — In units won by Other local unions,In elections in which no representative chosen
1-union RM elections (subtotal),234,30.3,70,,,,,164,,,,,,,
2-union RM elections,8,87.5,7,,,,,1,,,,,,,
Total RM elections (RM GRAND TOTAL),242,30.5,75,,,,,,,,,,,,
1-union RD elections (subtotal),910,31.5,287,,,,,623,,,,,,,
2-union RD elections,12,75.0,9,,,,,,,,,,,,
Total RD elections (RD GRAND TOTAL),922,31.5,290,,,,,632,,,,,,,
