Stage of disposition,All C cases / Number of cases closed,All C cases / Percent of cases closed,CA cases / Number of cases closed,CA cases / Percent of cases closed,CB cases / Number of cases closed,CB cases / Percent of cases closed,CC cases / Number of cases closed,CC cases / Percent of cases closed,CD cases / Number of cases closed,CD cases / Percent of cases closed,CE cases / Number of cases closed,CE cases / Percent of cases closed,CG cases / Number of cases closed,CG cases / Percent of cases closed,CP cases / Number of cases closed,CP cases / Percent of cases closed
Total number of cases closed,29938,100.0,19144,100.0,7419,100.0,2101,100.0,606,100.0,557,100.0,81,100.0,23,100.0
Before issuance of complaint,26309,88.4,16534,86.5,6927,93.4,1820,86.6,528,94.5,70,83.2,23,100.0,418,86.9
"After issuance of complaint, before opening of hearing",1773,5.9,1306,6.8,190,2.6,150,8.1,24,4.5,,8.7,2,8.7,,
"After hearing opened, before issuance of administrative law judge's decision",274,0.9,204,1.1,33,0.4,27,1.3,,,2,2.5,,,,
"After administrative law judge's decision, before issuance of Board decision",133,0.5,,,,,,,,,,,,,,
After Board order adopting administrative law judge's decision in absence of exceptions,274,0.9,230,1.2,30,0.4,8,0.4,,,,,,,2,0.4
"After Board decision, before circuit court decree",754,2.5,583,3.0,140,1.9,51,2.4,10,1.8,,,,,11,2.3
"After circuit court decree, before Supreme Court action",332,1.1,261,1.4,43,0.6,,,,,,,,,,
After Supreme Court action,38,0.1,,,,,,,,,,,,,,
