row_label,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases (UD),Amendment of certification cases (AC),Unit clarification cases (UC)
Services,8256,6165,4803,1136,110,27,9,0,44,1848,1400,91,357,63,14,176
Public administration,204,152,111,34,6,1,0,0,0,44,34,0,10,0,3,5
"Total, all industrial groups",47210,38097,27749,7344,1476,435,70,48,375,8276,5605,707,1964,305,49,483
