row_label,Total 1,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"CA cases — Pending July 1, 1964",4159,2283,475,156,94,1140,1
CA — Received fiscal 1965,10931,5465,1378,410,200,3471,7
CA — On docket fiscal 1965,15090,7748,1853,566,294,4611,8
CA — Closed fiscal 1965,10360,4903,1320,385,199,3547,6
"CA — Pending June 30, 1965",4730,2845,533,181,95,1064,2
"CB cases — Pending July 1, 1964",796,31,2,7,14,569,173
CB — Received fiscal 1965,2703,79,20,10,39,1929,627
CB — On docket fiscal 1965,3499,110,22,17,52,2498,800
CB — Closed fiscal 1965,2659,62,12,12,44,1944,585
"CB — Pending June 30, 1965",840,48,12,5,8,554,215
"CC cases — Pending July 1, 1964",436,4,0,13,10,16,393
CC — Received fiscal 1965,1256,28,1,22,19,30,1156
CC — On docket fiscal 1965,1692,32,1,35,29,46,1549
CC — Closed fiscal 1965,1253,24,0,25,18,36,1150
"CC — Pending June 30, 1965",439,8,0,10,11,10,399
"CD cases — Pending July 1, 1964",158,6,0,0,1,8,143
CD — Received fiscal 1965,461,28,1,3,7,8,414
CD — On docket fiscal 1965,619,34,1,3,8,16,557
CD — Closed fiscal 1965,465,25,1,3,5,11,420
"CD — Pending June 30, 1965",154,9,0,0,3,5,137
"CE cases — Pending July 1, 1964",63,5,0,1,2,3,52
CE — Received fiscal 1965,56,3,1,1,3,2,45
CE — On docket fiscal 1965,119,10,1,2,5,5,97
CE — Closed fiscal 1965,69,8,1,0,5,3,56
"CE — Pending June 30, 1965",50,2,0,2,0,4,41
"CP cases — Pending July 1, 1964",119,1,0,0,2,1,115
CP — Received fiscal 1965,393,4,0,1,13,6,368
CP — On docket fiscal 1965,512,5,0,1,14,7,483
CP — Closed fiscal 1965,413,4,0,0,11,6,390
"CP — Pending June 30, 1965",99,1,0,0,3,1,93
