Method and stage of disposition,All C cases Number,All C cases Percent of total method,All C cases Percent of total closed,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CG cases Number,CG cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Total number of cases closed,37602,100.0,,25448,100.0,9201,100.0,1942,100.0,475,100.0,138,100.0,0,,468,100.0
Agreement of the parties,9171,24.4,100.0,6201,24.4,2151,23.4,616,31.7,55,11.6,43,31.2,0,,138,29.5
Informal settlement,8921,23.7,97.3,6499,25.5,1410,15.4,638,43.2,192,40.4,37,26.8,0,,133,28.4
Before issuance of complaint,6200,16.4,67.6,4249,16.7,1123,12.4,451,33.6,0,,23,16.7,0,,114,24.4
"After issuance of complaint, before opening of hearing",2512,6.7,27.4,2067,8.1,271,3.0,130,6.7,0,,12,8.6,0,,18,3.8
"After hearing opened, before administrative law judge decision",209,0.6,2.3,183,0.7,16,0.2,6,0.4,,,2,1.5,1,,5,1.1
Formal settlement,250,0.7,2.7,184,0.7,42,0.4,13,2.6,0,,1,0.7,0,,5,1.1
"After complaint, before opening of hearing",165,0.5,1.8,94,0.4,24,0.2,41,2.1,,,1,0.7,,,5,1.1
Stipulated decision,34,0.1,0.4,24,,11,0.1,20,,,,,,,,0,
Consent decree,131,0.4,1.4,71,0.3,13,0.1,42,2.2,,,,,,,5,1.1
After hearing opened,85,0.2,0.9,57,0.2,18,0.2,10,0.5,,,,,,,0,
Stipulated decision,13,,0.1,8,,4,,0,,,,,,,,1,
Consent decree,72,0.2,0.8,49,,14,0.2,10,0.5,,,,,,,0,
Compliance with,1258,3.4,100.0,1029,4.0,114,1.2,70,3.6,11,2.3,19,13.8,2,,13,2.7
Administrative law Judge's decision; Board decision,776,2.1,61.7,672,2.6,86,0.9,12,0.6,,,5,3.6,,,1,0.2
