Party filing,Cases closed / Number,Cases closed / Percent of total,Cases filed / Number,Cases filed / Percent of total
Total,5456,100.0,4967,100.0
A. F. of L. affiliate,2402,44.0,2178,43.8
C. I. O. affiliate,2428,44.4,2198,44.2
Unaffiliated union,162,3.0,180,3.6
Individual worker,470,8.6,417,8.4
