row_label,Row label / stage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Trial examiner's decision / Board decision,,,,,,,,,,,,,,,
Trial examiner's decision,119,0.6,11.8,96,0.8,14,0.4,6,0.4,0,0,,,3,0.6
Board decision,459,2.4,45.9,348,2.8,24,0.9,48,3.2,0,4,0.8,4,21,4.4
Adopting trial examiner's decision (no exceptions filed) — section header with,,,,,,,,,,,,,,,
Contested,72,0.4,7.2,50,0.4,7,0.3,27,1.8,0,0,,4,6,1.3
Circuit court of appeals decree,357,1.9,35.7,302,2.4,24,0.9,6,0.4,13,0,9,7,1.2,1.9
Supreme Court action,67,0.4,6.6,57,0.5,5,0.2,2,0.1,0,0,,0,3,0.6
Withdrawal (section total),6787,35.8,100.0,4334,36.6,1459,57.1,551,36.5,1,0,2,36,368,45.0
Withdrawal stage,,,,,,,,,,,,,,,
Dismissal (section total),6167,32.5,100.0,4110,33.1,1611,42.5,0,249,16.5,,,44,44.9,93
Dismissal stage,,,,,,,,,,,,,,,
Adopting trial examiner's decision (no exceptions filed),59,0.3,1.0,44,0.4,10,0.3,5,0.3,0,0,,,0,0.2
