Method and stage of disposition,All C cases / Number,All C cases / Percent of total cases,All C cases / Percent of total method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Contested,201,1.0,3.3,120,1.0,26,0.7,20,1.3,0,,33,33.7,2,0.4
By circuit court of appeals decree,70,0.4,1.1,54,0.4,13,0.3,2,0.1,0,,1,0.7,0,0
By Supreme Court action,2,0.0,0.0,1,0.0,1,0.0,0,,0,,0,,0,0
10(k) actions (see table 7A for details of dispositions),527,2.8,,,,,,,,527,96.6,0,,0,0
Otherwise (compliance with order of trial examiner or Board not achieved — firms went out of business),13,0.1,,,,,,,,,,,,,
