Industrial group,Total elections Total,Won by AFL-CIO unions,Won by Teamsters,Won by Other national unions,Won by Other local unions,No representative chosen,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions Total,Valid votes for unions AFL-CIO,Valid votes for unions Teamsters,Valid votes for unions Other national unions,Valid votes for unions Other local unions,Total votes for no union,Total employees in elections showing representation
Mining sub-industries (Metal / Coal / Crude petroleum and natural gas production / Nonmetallic mining and quarrying),,,,,,,,,,,,,,,,
Mining (subtotal),106,63,31,21,5,6,43,9496,8102,4516,2385,248,1016,868,3586,6261
"Construction / Wholesale trade / Retail trade / Finance, insurance, real estate",,,,,,,,,,,,,,,,
"Transportation, communication, and other utilities",,,,,,,,,,,,,,,,
"Transportation, communication, and other utilities (subtotal)",778,487,214,247,16,10,311,41708,37499,26651,16693,5988,499,1469,10839,25607
Services sub-industries (Hotels / Personal services / Auto repair / Motion pictures and amusement / Medical and health / Educational / Museums / Nonprofit / Miscellaneous),,,,,,,,,,,,,,,,
Services (subtotal),183,108,53,75,,,73,10074,8569,4217,2408,638,455,718,4441,6769
"Total, all industrial groups",7857,4495,2814,1262,248,171,3362,566194,506772,294305,206322,43331,22411,23011,212467,292055
