Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, dismissed, inactive, pending, etc"
Under sec 10(j) (a) Against unions,1,1,0,
Under sec 10(j) (b) Against employers,0,0,0,
Under sec 10(l),255,70,13,71 settled; 3 withdrawn; 2 dismissed; 91 alleged illegal activity suspended; 14 pending
Total,256,71,13,181
