Object class,Amount
Personnel compensation,22238891
Personnel benefits,1619897
Travel and transportation of persons,1443849
Transportation of things,50679
"Rent, communications, and utilities",995787
Printing and reproduction,563544
Other services,746600
Supplies and materials,248492
Equipment,276319
Insurance claims and indemnities,10976
Subtotal obligations and expenditures,28195034
"Transferred to operating expenses, Public Building Service (rent)",62179
Total Agency,28257213
Reimbursable obligations — Personnel compensation,54393
Reimbursable obligations — Personnel benefits,3831
Reimbursable obligations — Travel and transportation of persons,14687
"Reimbursable obligations — Rent, communications, and utilities",1327
Reimbursable obligations — Other services,2005
Reimbursable obligations — Supplies and materials,479
Reimbursable obligations — Equipment,1945
Total obligations and expenditures (reimbursable),78667
