Stage of disposition,All cases — Number,All cases — Number of workers involved,Cases filed by A. F. of L. affiliates — Number,Cases filed by A. F. of L. affiliates — Number of workers involved,Cases filed by C. I. O. affiliates — Number,Cases filed by C. I. O. affiliates — Number of workers involved,Cases filed by unaffiliated unions — Number,Cases filed by unaffiliated unions — Number of workers involved,Cases filed by individuals — Number,Cases filed by individuals — Number of workers involved
"Cases pending July 1, 1940",2164,1062107,826,149009,1068,773000,77,100452,159,39929
"Cases received, July 1940-June 1941",4817,1464087,2245,478268,1972,697917,122,51190,476,230221
"Cases on docket, July 1940-June 1941",6981,2526194,3073,627277,3055,1470924,199,151640,635,275001
"Cases closed, July 1940-June 1941",4698,1208005,1925,348042,1925,648426,146,45526,456,165161
Cases closed before formal action,4240,980454,1812,291652,1674,483870,131,44089,451,162871
Cases closed after formal action,458,227551,176,56441,231,164530,25,4270,5,2290
